"","MZ","Intensity"
"151",90.0268478393555,8132.4599609375
"152",90.6463394165039,7775.380859375
"153",90.9759826660156,8501.599609375
"154",91.1608200073242,8454.3447265625
"155",91.1922378540039,6182.8056640625
"156",91.3293533325195,6265.77685546875
"157",91.4088287353516,7927.60107421875
"158",91.5024185180664,7407.59814453125
"159",91.7051849365234,6996.98486328125
"160",92.3228912353516,7509.1083984375
"161",92.5803146362305,6674.37744140625
"162",92.9970016479492,7005.37548828125
"163",93.0488967895508,7216.6689453125
"164",93.8624038696289,7525.712890625
"165",94.1888427734375,6695.8447265625
"166",94.4788589477539,7261.98974609375
"167",94.8449096679688,7209.66845703125
"168",95.3444290161133,7727.73828125
"169",95.7846145629883,7461.3720703125
"170",95.8869552612305,9661.0537109375
"171",96.0835342407227,8430.5810546875
