MZ,Intensity
88.25485992,1000
88.30992126,1000
88.52327728,1000
88.52358246,1000
88.60896301,1000
88.79421234,1000
91.15311432,1000
91.54501343,1000
91.72727966,1000
93.01051331,1000
93.48557281,1000
93.50974274,1000
93.97234344,1000
94.76811981,1000
94.80646515,1000
94.98532867,1000
95.5003891,1000
95.70690918,1000
95.88700104,1000
96.06881714,1000
96.70061493,1000
96.78031921,1000
97.38407135,1000
97.71215057,1000
98.2193222,1000
99.29973602,1000
100.7180786,1000
101.8134155,1000
102.5096512,1000
104.5505142,1000
104.9755936,1000
105.4085312,1000
105.7258072,1000
106.2250977,1000
107.1944809,1000
107.2116394,1000
107.4343491,1000
107.9368057,1000
108.5079346,1000
108.5082703,1000
108.825943,1000
109.0993271,1000
110.0844955,1000
111.2508316,1000
111.6429901,1000
112.361496,1000
112.7435837,1000
113.1210327,1000
114.1571808,1000
114.8927383,1000
115.0951614,1000
115.1162033,1000
115.6598587,1000
116.8280029,1000
118.60923,1000
119.1389999,1000
119.5514908,1000
119.8778534,1000
120.8572235,1000
122.002327,1000
122.0476608,1000
122.6052933,1000
122.8459244,1000
126.6467361,1000
126.8277664,1000
128.9723663,1000
129.256134,1000
129.733902,1000
130.1667633,1000
132.319809,1000
132.8569794,1000
132.901947,1000
133.0644073,1000
133.1404724,1000
136.0397949,1000
136.54599,1000
138.5659637,1000
139.1431885,1000
139.9416046,1000
140.8209229,1000
141.216507,1000
141.3701172,1000
142.5348358,1000
142.77742,1000
142.8758087,1000
143.9179382,1000
144.0797424,1000
145.0467987,1000
147.1715546,1000
147.4504089,1000
147.8782349,1000
148.4447174,1000
150.0401459,1000
150.3795471,1000
151.6259155,1000
151.6595001,1000
152.5851746,1000
152.6113281,1000
152.7153931,1000
153.5048065,1000
153.583847,1000
154.5718384,1000
155.1595001,1000
156.470871,1000
156.6565704,1000
156.7446136,1000
157.0561066,1000
158.1023712,1000
158.7849884,1000
158.9957275,1000
159.825531,1000
160.5101624,1000
160.6977844,1000
161.57341,1000
162.6853943,1000
